所述 的 导入 篮 ( 13 ) 在 方导柱 ( 10 ) 上 可作 垂直 运动 。 ||| the introduction of the basket ( 13 ) in the 方导柱 ( 10 ) can be done on the vertical movement .
当 开关 ( 5 ) 闭合 时 , 回路 中 LED 光源 所 发出 的 光线 从 透 袋 ( 1 ) 透出 , 在 光线 较 暗 的 环境 中 显示 背包 和 其 背 戴者 的 具体位置 。 ||| when the switch ( 5 ) in the loop is closed , the light emitted from the led light source from the bag ( 1 ) , the light rays to escape in a dark environment is displayed in the backpack and its specific location of the wearer 's back .
一种 阿齐 沙坦 固体 分 散体 及其 制备 方法 和 药物 组合 物 。 ||| an azithromycin sartan solid dispersion and a preparation method thereof , and a pharmaceutical composition .
与 现有 技术 相比 , 本发明 的 有益 效果 是 : 实时 监测 气体 的 氧 浓度 , 对 氧 浓度 进行 双 闭环控制 , 使 给出 的 气体 氧 浓度 与 设定 的 氧 浓度 一致 , 提高 了 混 氧 控制 的 精度 。 ||| compared to the prior art , the beneficial effects of the present invention are : real- time monitoring of the gas , the oxygen concentration of the twin closed- loop control of the oxygen concentration of the gas , the oxygen concentration is given set consistent with an oxygen concentration of oxygen , improves the accuracy of the blend is controlled .
所述 火灾 监控 系统 ( 6,7 ) 、 所述 报警 系统 ( 9 ) 和 所述 灭火 系统 分别 与 所述 控制系统 ( 8 ) 电 连接 , ||| the fire monitoring system ( 6,7 ) , the alarm system ( 9 ) and , respectively , the fire extinguishing system to said control system ( 8 ) is electrically connected ,
蜗杆 ( 12 ) 设置 在 蜗轮 ( 11 ) 的 一侧 , ||| the worm gear ( 12 ) disposed on the worm gear wheel ( 11 ) , one side of the
该 转轴 组件 插入 座圈 、 盖板 的 容纳 部 , 座圈 、 ||| the shaft assembly is inserted into the receiving portion of the seat , a cover plate , the race .
上 盖 安装 部 ( 01 ) 上 安装 有 儿童 锁 的 儿 锁 钮 ( 1 ) 、 儿 锁簧 ( 2 ) 、 儿 锁 杆 ( 3 ) 及 锁匙 ( 5 ) 。 ||| the upper cover attachment portion ( 01 ) is mounted on the children of the child lock button ( 1 ) , of the bolt ( 2 ) , several locking rod ( 3 ) and a key ( 5 ) .
公开 了 一种 倾斜 循环 螺距 与 集体 螺距 控制 机构 。 ||| discloses a cyclic pitch is inclined with the collective pitch control mechanism .
一种 术 中 支架 输送 装置 , 包括 包膜 ( 10 ) 及 与其 相连接 的 缝线 ( 11 ) 和 拉线 ( 12 ) ; ||| an intraoperative stent delivery apparatus comprising envelope ( 10 ) and is connected with the suture ( 11 ) , and the wires ( 12 ) ;
本发明 提供 一种 通过 促进 靶细胞 对 治疗剂 的 摄取 而 提高 其 疗效 的 方法 和 组合 物 , 所述 的 组合 物 含有 脂 筏 - 膜 穴 依赖型 内 吞 通路 的 调节剂 , 所述 治疗剂 例如 为 抗肿瘤 药物 。 ||| the present invention provides a target cells by promoting the uptake of therapeutic agent to increase the efficacy of the method and composition , said composition comprising a lipid raft- film pocket dependant endocytosis pathway modulators , for example , the therapeutic agent is an antineoplastic agent .
本发明 公开 了 木质素 磺酸盐 的 用途 及其 药物 组合 物 , ||| the present invention discloses the use of lignosulfonates and pharmaceutical compositions thereof ,
本发明 采用 由 系统 引导 控制 和 婴儿 自主 控制 相结合 的 实现 方式 , 能够 给 婴儿 带来 丰富 的 感觉 体验 , 不仅 适合 于 不同 月龄 的 婴儿 玩 , 而且 有利于 婴儿 的 生长发育 , 可 刺激 婴儿 通过 自己 的 手 或 脚 获得 新奇 的 外部 体验 , 促进 婴儿 的 智力 发育 , 提高 婴儿 对外部 世界 的 认知 能力 。 ||| the present invention employs guided by the system control and infant autonomously control the implementation can be combined to the infant , the sensation caused abundant , not only is suitable for playing different month old infant an infant , but also advantageously , growing infants can be stimulated by its own hand or foot achieving novelty external experience , promote , enhance mental development in an infant an infant cognitive ability of to the outside world .
该 方法 可 防止 梭梭 属 植物 受 地 表层 高温 等 逆境 因子 胁迫 所致 伤害 甚至 死亡 。 ||| the method prevents the 梭梭 genus plant under the high temperature and the like are skin damage caused by stress factor stress and even death .
根据 本发明 的 呼吸机 , 包括 上述 的 电磁 比例阀 。 ||| a ventilator according to the present invention , including an electromagnetic proportional valve described above .
该 左心 耳 封堵器 结构 稳定 , 在 左心耳 腔 壁上 定位 和 密封 效果 好 , 且 容易 重复 定位 , 在 脱离 输送 器 之前 还 可回收 ; ||| the left atrial appendage occluding device structure is stable , the chamber wall located in the left atrial appendage and good sealing effect , and is easily reproducible orientation before the disengaging of the conveyor , can also be recovered ;
本发明 提供 一种 2 - ( 4- 吗啉 苯胺 ) -6- 环己基 氨基嘌呤 及其 药学 上 可 接受 的 盐 或 衍生物 的 新 用途 。 ||| the present invention provides a 2- ( 4- morpholino aniline ) -6- cyclohexyl- diaminopurine and its pharmaceutically acceptable salt or derivative thereof , a new applications .
所述 鞋底 ( 1 ) 上 表面 上 相应 的 设有 与 所述 环形 凸起 和 / 或 环形 凹槽 相 适配 的 结构 。 ||| the sole ( 1 ) is provided on the upper surface of the corresponding with the annular projection and / or annular recesses in the adaptation of the structure .
排水 从 四面 排出 , ||| drainage is discharged from the four- sided
该 弧形 条 孔 ( 14 ) 还 设有 一比 支杆 ( 11 ) 截面 小 , 但 大于 支杆 ( 11 ) 环形 凹槽 ( 111 ) 截面 的 第二段 孔 。 该 环形 凹槽 ( 111 ) 对应 配合 在 该 套环 ( 13 ) 上 。 ||| the curved bar holes ( 14 ) is further provided with a one- to- one struts ( 11 ) small cross- section , but greater than the struts ( 11 ) an annular recess ( 111 ) of the cross section of the second section apertures . the annular groove ( 111 ) in the corresponding mating collar ( 13 ) .
本发明 提供 了 一种 呼吸机 气体 比例控制 方法 及 装置 , ||| the present invention provides a ventilator gas proportional control method and apparatus ,
手柄 ( 1 ) 通过 连接 机构 与 连接 块 ( 2 ) 连接 , ||| the handle ( 1 ) by means of coupling means to the connection piece ( 2 ) is connected ,
在 计分 显示器 ( 4 ) 中 设置 有 接收 该 无线 信号 发射器 ( 5 ) 信号 的 无线 信号 接收器 , ||| the score of the display ( 4 ) is provided in the received wireless signal transmitter ( 5 ) signal , a wireless signal receiver
当 导 丝 由 内 管 的 远端 进入 后 , 导 丝 不仅 可以 由 内 管 的 近 端 穿出 , 而且 还 可以 由 侧 管 中 穿出 。 ||| when the guide wire from the distal end of the inner tube , after entering the guide wire may be not only by the proximal end of the inner tube , but also may be formed out of the side tube passes .
发热 组件 ( 2 ) 固定 在 壳体 ( 32 ) 上 与 杯 体 组件 ( 1 ) 可 分离 连接 。 ||| the heat generating component ( 2 ) is fixed to the housing ( 32 ) to the cup assembly ( 1 ) may be connected separately .
该 倾斜 循环 螺距 与 集体 螺距 控制 机构 同时 集成 了 倾斜 控制 机构 、 伺服 控制器 、 马达 和 减速 装置 , 从而 降低 了 对 控制 空间 的 要求 , 缩小 了 机身 整体 尺寸 , 增加 了 产品 的 适用性 。 ||| the cyclic pitch is inclined with the collective pitch control mechanism that integrates both tilt control mechanism , a servo controller , the motor and reduction means , thereby reducing the space required for the control of the main body , reducing the overall size of the product , increase the applicability .
杯 体 组件 ( 1 ) 通过 其 下部 的 杯座 ( 16 ) 与 壳体 ( 32 ) 上部 可 分离 连接 。 发热 组件 ( 2 ) 位于 导热 底 ( 15 ) 的 下方 , ||| cup assembly ( 1 ) through a lower portion of the cup holder ( 16 ) and the housing ( 32 ) connects the upper portion can be isolated . the heat generating component ( 2 ) is located in the thermally conductive bottom ( 15 ) below , and
盖板 绕 该 转轴 组件 转动 掀开 盖板 或 座圈 。 ||| the cover plate to rotate about the shaft assembly rotates open the cover or race .
该 装置 结构 简单 、 成本低 , 操作 方便 。 ||| the device structure is simple , low cost , ease of operation .
调整 螺钉 用于 调整 第一 弹簧 的 预紧 力 ; ||| adjustment screw for adjusting the pretensioning force of the first spring ;
且 智能化 技术 方便 远程 治疗 、 指导 , ||| and intelligent technologies , to facilitate remote direct treatment .
将 其 应用 于 光子 治疗 椅 时 , 也 使得 光子 治疗 椅 使用 更 方便 , 适合 各种 人群 使用 。 ||| it is applied to the treatment chair photons also make it more convenient to use treatment chair photons , using suitable for a variety of population .
所述 导 丝 ( 13 ) 在 所述 的 穿刺针 ( 12 ) 内 延伸 ; 所述 导 丝 ( 13 ) 包括 远端 弯曲 段 ( 32 ) 和 近 端直 段 , ||| the guide wire ( 13 ) in the needle ( 12 ) extends ; within the guide wire ( 13 ) includes a distal bent section ( 32 ) and a proximal straight segment ,
本发明 还 涉及 筛选 对抗 肿瘤 药物 具有 增效 作用 的 脂 筏 - 膜 穴 依赖型 内 吞 通路 调节剂 的 方法 。 ||| the invention further relates to screening for anti- tumor drug synergistic lipid raft- film pocket dependant endocytosis pathway modulators method .
由于 本发明 将 压 并 的 压缩 弹簧 环 套 上 回弹 活 杆 上 , 结构设计 更趋 合理 , 更 适合 于 生产 流水线 自动 组装 生产 , ||| since the present invention the pressure and the compression spring collar rebound on live lever , are closer , more reasonable structural design is suitable for producing pipeline automatic assembly production ,
根据 本发明 的 电磁 比例阀 能够 有效 避免 摩擦力 对 流量 控制 带来 的 不稳定性 , 克服 流量 控制 的 滞 回 误差 , 实现 对 小 流量 的 稳定 控制 , 降低 加工 生产 的 难度 。 ||| an electromagnetic proportional valve according to the present invention can be effectively avoided due to the flow control , the frictional forces to overcome the instability of the flow control of the hysteretic error , for both the small flow stability control , reduce the machining difficulty of manufacture .
一种 带有 安全 保护装置 的 食物 处理器 , 包括 设置 有 动力 单元 的 基座 ( 3 ) , ||| a food processor with a safety guard is provided with a power unit , comprising a base ( 3 ) ,
一 底座 ( 30 ) 设 一支 杆 ( 11 ) 。 ||| a base ( 30 ) is a stem ( 11 ) .
本发明 具有 自动 断电 保护 功能 , 能 有效 防止 食物 飞溅 , 避免 食物 处理机 零部件 误操作 时 的 损坏 , 同时 结构 简单 , 加工 方便 , 适于 大规模 的 生产 。 ||| the present invention has an auto- off protection function , food being effective to prevent splashing , avoiding inadvertent operation of the food processor components when damage , while a simple structure and manufacturing convenience , suitable for large scale production .
结构 更加 简单 , 提高 了 产品 生产 效率 , 降低 了 生产成本 。 ||| even simpler structure , to improve the production efficiency , reducing the production costs .
所述 的 输水管 沿 侧 框 两 对角 上 的 通孔 穿入 侧 框内 。 ||| the water delivery pipe along the side frame on two opposing corners of the through- hole penetrates into the side frame .
实现 注射器 真正 意义 上 的 一次性 使用 , 避免 血源 性疾病 的 交叉 传播 。 ||| to achieve a truly disposable syringe using a blood- borne diseases , avoid cross propagation .
该 连接 机构 包括 一 座圈 轴套 , 一 盖板 轴套 和 一 转轴 组件 。 ||| the connecting mechanism comprises a seat , a cover plate bushing sleeve and a spindle assembly .
手柄 ( 202 ) 与 发条 部件 的 转动 能 输入 端 连接 ; 主轴 部件 与 发条 部件 的 转动 能 输出 端 连接 ; 齿轮 组 部件 连接 到 主轴 部件 。 ||| the handle ( 202 ) with a spring member for rotation of the enable input connection ; spindle assembly with the rotational energy of the spring member is connected to the output terminal ; gear set component is connected to the main shaft part .
因此 不仅 具有 同 轴式 输送 和 释放 装置 的 优点 , 还 具有 快速 交换式 输送 和 释放 装置 的 优点 , 并且 还 可以 根据 实际 情况 需要 , 快速 在 这 两种 形式 之间 进行 切换 , 节省 了 手术 时间 , 同时 提高 了 手术 成功率 。 ||| thus not only have coaxial delivery and release device , and further has the advantage of rapid exchange delivery and release of the advantages of the device , and may also be required , depending on the actual situation in rapidly switching between the two forms , saving the time of surgery , surgery while enhancing the success rate .
